,CPIAUCSL
2010-03-31,217.37400000000002
2010-06-30,217.29733333333334
2010-09-30,217.93433333333334
2010-12-31,219.69899999999998
2011-03-31,222.04366666666667
2011-06-30,224.56833333333336
2011-09-30,226.03266666666664
2011-12-31,227.04733333333334
2012-03-31,228.32600000000002
2012-06-30,228.808
2012-09-30,229.841
2012-12-31,231.36933333333332
2013-03-31,232.29933333333335
2013-06-30,232.045
2013-09-30,233.29999999999998
2013-12-31,234.1626666666667
2014-03-31,235.621
2014-06-30,236.87233333333333
2014-09-30,237.47833333333332
2014-12-31,236.88833333333332
2015-03-31,235.35500000000002
2015-06-30,236.96
2015-09-30,237.855
2015-12-31,237.837
2016-03-31,237.68933333333334
2016-06-30,239.59033333333332
2016-09-30,240.60733333333334
2016-12-31,242.13466666666667
2017-03-31,243.83866666666665
2017-06-30,244.12
2017-09-30,245.287
2017-12-31,247.23833333333334
2018-03-31,249.3216666666667
2018-06-30,250.679
2018-09-30,251.68633333333332
2018-12-31,252.711
2019-03-31,253.38566666666665
2019-06-30,255.24733333333333
2019-09-30,256.08933333333334
2019-12-31,257.888
2020-03-31,258.81766666666664
2020-06-30,256.292
2020-09-30,259.22166666666664
2020-12-31,261.0916666666667
2021-03-31,263.74233333333336
2021-06-30,268.5503333333333
2021-09-30,272.8296666666667
2021-12-31,278.77133333333336
2022-03-31,284.90566666666666
2022-06-30,291.60533333333336
2022-09-30,295.453
2022-12-31,298.5416666666667
2023-03-31,301.23033333333336
2023-06-30,303.3976666666667
2023-09-30,305.989
2023-12-31,308.195
2024-03-31,311.00333333333333
2024-06-30,313.0806666666667
2024-09-30,314.12100000000004
2024-12-31,316.5876666666666
2025-03-31,319.47499999999997
2025-06-30,320.78566666666666
2025-09-30,323.23499999999996
2025-12-31,325.547
2026-03-31,328.1136666666667
