,GDPC1
2010-03-31,16582.71
2010-06-30,16743.162
2010-09-30,16872.266
2010-12-31,16960.864
2011-03-31,16920.632
2011-06-30,17035.114
2011-09-30,17031.313
2011-12-31,17222.583
2012-03-31,17367.01
2012-06-30,17444.525
2012-09-30,17469.65
2012-12-31,17489.852
2013-03-31,17662.4
2013-06-30,17709.671
2013-09-30,17860.45
2013-12-31,18016.147
2014-03-31,17953.974
2014-06-30,18185.911
2014-09-30,18406.941
2014-12-31,18500.031
2015-03-31,18666.621
2015-06-30,18782.243
2015-09-30,18857.418
2015-12-31,18892.206
2016-03-31,19001.69
2016-06-30,19062.709
2016-09-30,19197.938
2016-12-31,19304.352
2017-03-31,19398.343
2017-06-30,19506.949
2017-09-30,19660.766
2017-12-31,19882.352
2018-03-31,20044.077
2018-06-30,20150.476
2018-09-30,20276.154
2018-12-31,20304.874
2019-03-31,20431.641
2019-06-30,20602.275
2019-09-30,20843.322
2019-12-31,20985.448
2020-03-31,20709.212
2020-06-30,19077.992
2020-09-30,20558.879
2020-12-31,20791.917
2021-03-31,21082.134
2021-06-30,21440.929
2021-09-30,21617.828
2021-12-31,21988.737
2022-03-31,21932.71
2022-06-30,21967.045
2022-09-30,22125.625
2022-12-31,22278.345
2023-03-31,22439.607
2023-06-30,22580.499
2023-09-30,22840.989
2023-12-31,23033.78
2024-03-31,23082.119
2024-06-30,23286.508
2024-09-30,23478.57
2024-12-31,23586.542
2025-03-31,23548.21
2025-06-30,23770.976
2025-09-30,24026.834
2025-12-31,24055.749
