,GDP
2010-03-31,14764.61
2010-06-30,14980.193
2010-09-30,15141.607
2010-12-31,15309.474
2011-03-31,15351.448
2011-06-30,15557.539
2011-09-30,15647.68
2011-12-31,15842.259
2012-03-31,16068.805
2012-06-30,16207.115
2012-09-30,16319.541
2012-12-31,16420.419
2013-03-31,16648.189
2013-06-30,16728.687
2013-09-30,16953.838
2013-12-31,17192.019
2014-03-31,17197.738
2014-06-30,17518.508
2014-09-30,17804.228
2014-12-31,17912.079
2015-03-31,18063.529
2015-06-30,18279.784
2015-09-30,18401.626
2015-12-31,18435.137
2016-03-31,18525.933
2016-06-30,18711.702
2016-09-30,18892.639
2016-12-31,19089.379
2017-03-31,19280.084
2017-06-30,19438.643
2017-09-30,19692.595
2017-12-31,20037.088
2018-03-31,20328.553
2018-06-30,20580.912
2018-09-30,20798.73
2018-12-31,20917.867
2019-03-31,21111.6
2019-06-30,21397.938
2019-09-30,21717.171
2019-12-31,21933.217
2020-03-31,21751.238
2020-06-30,19958.291
2020-09-30,21704.437
2020-12-31,22087.16
2021-03-31,22680.693
2021-06-30,23425.91
2021-09-30,23982.379
2021-12-31,24813.6
2022-03-31,25250.347
2022-06-30,25861.292
2022-09-30,26336.304
2022-12-31,26770.514
2023-03-31,27216.445
2023-06-30,27530.055
2023-09-30,28074.846
2023-12-31,28424.722
2024-03-31,28708.161
2024-06-30,29147.044
2024-09-30,29511.664
2024-12-31,29825.182
2025-03-31,30042.113
2025-06-30,30485.729
2025-09-30,31098.027
2025-12-31,31422.526
